date,sessions,website_visitors,active_customers,orders,units_sold,gross_revenue,net_revenue,conversion_rate,average_order_value,lost_sales_units,expected_refund_rate,expected_checkout_failure_rate,day_of_week,month,quarter,is_weekend,incident_flag,incident_type
2025-01-01,11290,11290,7843,512,987,43797.22,42766.54,0.0468,85.54,0,0.0336,0.0188,2,1,1,False,False,normal
2025-01-02,12405,12405,7735,478,796,38851.35,37827.5,0.0387,81.28,0,0.0395,0.0179,3,1,1,False,False,normal
2025-01-03,12372,12372,7683,514,855,42156.64,40901.77,0.0421,82.02,0,0.0417,0.0165,4,1,1,False,False,normal
2025-01-04,14061,14061,8650,637,1026,57469.74,57191.25,0.0471,90.22,0,0.032,0.0183,5,1,1,True,False,normal
2025-01-05,12456,12456,7845,517,986,42333.08,42830.24,0.0445,81.88,0,0.0339,0.0263,6,1,1,True,False,normal
2025-01-06,9927,9927,6268,428,807,39406.63,37750.27,0.0436,92.07,0,0.0364,0.0205,0,1,1,False,False,normal
2025-01-07,10283,10283,6938,410,712,34585.01,33946.74,0.0423,84.35,0,0.0369,0.0211,1,1,1,False,False,normal
2025-01-08,11301,11301,6744,474,750,38549.62,37360.95,0.0418,81.33,0,0.0329,0.0205,2,1,1,False,False,normal
2025-01-09,12415,12415,7876,571,910,48590.42,45923.16,0.0439,85.1,0,0.0425,0.0224,3,1,1,False,False,normal
2025-01-10,12800,12800,8091,554,981,49777.95,48208.95,0.0422,89.85,0,0.0367,0.0174,4,1,1,False,False,normal
2025-01-11,14206,14206,8257,630,1144,54478.97,53094.33,0.0429,86.47,0,0.0371,0.0118,5,1,1,True,False,normal
2025-01-12,12832,12832,8248,535,804,47180.66,45403.48,0.0432,88.19,0,0.042,0.0174,6,1,1,True,False,normal
2025-01-13,10058,10058,6665,419,717,38476.41,36361.73,0.041,91.83,0,0.0332,0.0204,0,1,1,False,False,normal
2025-01-14,10229,10229,6204,456,887,42842.71,40917.99,0.0446,93.95,0,0.0346,0.0151,1,1,1,False,False,normal
2025-01-15,11381,11381,7048,582,1003,50223.38,48284.24,0.0517,86.29,0,0.03,0.0175,2,1,1,False,False,normal
2025-01-16,12517,12517,7193,470,907,38660.69,36533.89,0.0377,82.26,0,0.0343,0.0159,3,1,1,False,False,normal
2025-01-17,12664,12664,7403,552,1009,48807.02,47687.32,0.044,88.42,0,0.029,0.0225,4,1,1,False,False,normal
2025-01-18,14158,14158,9161,562,910,50910.78,49373.81,0.0407,90.59,0,0.038,0.0202,5,1,1,True,False,normal
2025-01-19,12846,12846,7797,517,887,41342.43,40756.53,0.0447,79.97,0,0.0367,0.02,6,1,1,True,False,normal
2025-01-20,10231,10231,6159,411,713,34154.78,32182.47,0.0431,83.1,0,0.0339,0.0199,0,1,1,False,False,normal
2025-01-21,10565,10565,6754,499,816,41938.19,39938.6,0.0453,84.04,0,0.0346,0.0179,1,1,1,False,False,normal
2025-01-22,11518,11518,7005,515,841,44731.34,44506.34,0.0465,86.86,0,0.038,0.0186,2,1,1,False,False,normal
2025-01-23,12715,12715,7828,537,1037,45008.29,43481.21,0.0436,83.81,0,0.0305,0.0144,3,1,1,False,False,normal
2025-01-24,12834,12834,8340,570,931,52376.57,50529.24,0.0464,91.89,0,0.0358,0.0114,4,1,1,False,False,normal
2025-01-25,14512,14512,8599,486,913,38477.48,36856.76,0.036,79.17,0,0.0378,0.0185,5,1,1,True,False,normal
2025-01-26,13067,13067,7743,646,1097,51235.26,50883.67,0.0478,79.31,0,0.0279,0.019,6,1,1,True,False,normal
2025-01-27,10264,10264,6438,469,819,40410.73,39998.86,0.0441,86.16,0,0.0377,0.0216,0,1,1,False,False,normal
2025-01-28,10433,10433,6592,483,878,42037.38,41905.11,0.0462,87.03,0,0.0283,0.0227,1,1,1,False,False,normal
2025-01-29,11723,11723,7543,467,784,37359.75,36094.97,0.0393,80.0,0,0.0345,0.0227,2,1,1,False,False,normal
2025-01-30,12804,12804,7753,503,915,42585.43,40464.3,0.0405,84.66,0,0.0303,0.015,3,1,1,False,False,normal
2025-01-31,13118,13118,8567,576,867,49417.49,49233.92,0.0434,85.79,0,0.0407,0.0169,4,1,1,False,False,normal
2025-02-01,15153,15153,8945,696,1255,59742.46,58741.48,0.0429,85.84,0,0.0304,0.0194,5,2,1,True,False,normal
2025-02-02,13550,13550,8962,564,820,50103.14,48246.42,0.0438,88.84,0,0.0284,0.0256,6,2,1,True,False,normal
2025-02-03,10919,10919,6512,501,863,42265.02,42115.83,0.0463,84.36,0,0.0355,0.0224,0,2,1,False,False,normal
2025-02-04,10876,10876,7127,420,778,40373.8,38518.7,0.0377,96.13,0,0.0333,0.0214,1,2,1,False,False,normal
2025-02-05,12192,12192,7546,559,1020,50692.99,50563.99,0.0459,90.69,0,0.029,0.0168,2,2,1,False,False,normal
2025-02-06,13447,13447,8986,564,899,47128.33,46784.09,0.043,83.56,0,0.0371,0.0154,3,2,1,False,False,normal
2025-02-07,13789,13789,8632,571,919,50544.81,48302.98,0.0424,88.52,0,0.027,0.0204,4,2,1,False,False,normal
2025-02-08,15409,15409,9097,540,900,47888.33,46963.4,0.0386,88.68,0,0.0309,0.0147,5,2,1,True,False,normal
2025-02-09,13869,13869,8270,646,1145,61163.91,59906.98,0.0445,94.68,0,0.0327,0.0173,6,2,1,True,False,normal
2025-02-10,10785,10785,6803,382,575,32354.6,33602.53,0.0358,84.7,0,0.0382,0.0177,0,2,1,False,False,normal
2025-02-11,11081,11081,7060,493,862,45464.64,42932.6,0.0449,92.22,0,0.0402,0.0228,1,2,1,False,False,normal
2025-02-12,12365,12365,7560,482,862,42526.96,42211.84,0.0385,88.23,0,0.0394,0.0169,2,2,1,False,False,normal
2025-02-13,13494,13494,8295,591,1014,56856.34,54917.7,0.0432,96.2,0,0.0344,0.0107,3,2,1,False,False,normal
2025-02-14,13822,13822,8715,588,1066,55918.74,53325.22,0.0426,95.1,0,0.0253,0.0195,4,2,1,False,False,normal
2025-02-15,15266,15266,9558,676,1201,60220.37,57904.52,0.0465,89.08,0,0.0366,0.0159,5,2,1,True,False,normal
2025-02-16,14116,14116,8280,615,1036,53232.83,51058.89,0.0425,86.56,0,0.0409,0.0181,6,2,1,True,False,normal
2025-02-17,11101,11101,6590,406,616,36859.25,34381.33,0.0409,90.79,0,0.0399,0.0177,0,2,1,False,False,normal
2025-02-18,11300,11300,6918,449,793,39066.38,37923.28,0.0415,87.01,0,0.0369,0.0172,1,2,1,False,False,normal
2025-02-19,12331,12331,8011,573,937,55719.49,54944.34,0.0468,97.24,0,0.0302,0.0204,2,2,1,False,False,normal
2025-02-20,13682,13682,9015,610,1025,53943.27,52394.89,0.0446,88.43,0,0.0329,0.0134,3,2,1,False,False,normal
2025-02-21,13938,13938,8864,593,1072,50861.0,48172.69,0.0418,85.77,0,0.0427,0.0164,4,2,1,False,False,normal
2025-02-22,15457,15457,9681,626,1202,53505.55,51795.01,0.0423,85.47,0,0.0293,0.0201,5,2,1,True,False,normal
2025-02-23,14158,14158,8945,509,888,41396.11,40132.99,0.0383,81.33,0,0.0304,0.0162,6,2,1,True,False,normal
2025-02-24,11098,11098,6662,443,805,40340.06,38982.52,0.0442,91.06,0,0.0388,0.0132,0,2,1,False,False,normal
2025-02-25,11451,11451,6989,433,683,36151.14,36002.54,0.0377,83.49,0,0.0333,0.02,1,2,1,False,False,normal
2025-02-26,12439,12439,7368,566,1007,53226.54,51873.55,0.0453,94.04,0,0.0303,0.0214,2,2,1,False,False,normal
2025-02-27,13531,13531,7863,581,1013,46996.43,43731.75,0.0434,80.89,0,0.0411,0.0179,3,2,1,False,False,normal
2025-02-28,14084,14084,8880,723,1372,64129.98,61232.95,0.0502,88.7,0,0.0368,0.0121,4,2,1,False,False,normal
2025-03-01,15994,15994,9742,613,1033,57821.98,56044.24,0.0397,94.33,0,0.0335,0.0201,5,3,1,True,False,normal
2025-03-02,14471,14471,9234,589,1014,44859.8,44563.22,0.0427,76.16,0,0.0304,0.013,6,3,1,True,False,normal
2025-03-03,11567,11567,7318,509,955,50442.13,49496.51,0.0484,99.1,0,0.0432,0.0189,0,3,1,False,False,normal
2025-03-04,11890,11890,7501,521,906,44629.35,44757.63,0.0466,85.66,0,0.0349,0.0153,1,3,1,False,False,normal
2025-03-05,13399,13399,8404,536,867,47583.95,45776.63,0.0409,88.78,0,0.0406,0.0145,2,3,1,False,False,normal
2025-03-06,14462,14462,9096,611,1256,55688.36,54265.35,0.0437,91.14,0,0.0386,0.0167,3,3,1,False,False,normal
2025-03-07,14677,14677,9461,597,967,54920.24,51730.73,0.043,91.99,0,0.0329,0.0175,4,3,1,False,False,normal
2025-03-08,16594,16594,10034,741,1291,66324.21,64547.34,0.0438,89.51,0,0.0329,0.0161,5,3,1,True,False,normal
2025-03-09,14733,14733,9421,609,1091,56932.74,53589.22,0.0409,93.49,0,0.0408,0.0198,6,3,1,True,False,normal
2025-03-10,11600,11600,7350,459,818,41702.39,39939.44,0.0427,90.85,0,0.0409,0.0167,0,3,1,False,False,normal
2025-03-11,11957,11957,7224,460,795,44935.03,46578.01,0.0382,97.68,0,0.0275,0.0209,1,3,1,False,False,normal
2025-03-12,13356,13356,8270,603,1042,54796.3,53046.3,0.0434,90.87,0,0.0372,0.0188,2,3,1,False,False,normal
2025-03-13,14346,14346,8779,653,1124,64519.99,61472.45,0.0444,98.81,0,0.0345,0.0159,3,3,1,False,False,normal
2025-03-14,14646,14646,8986,642,1038,59677.71,58223.05,0.0423,92.96,0,0.0309,0.0154,4,3,1,False,False,normal
2025-03-15,16412,16412,9790,621,1247,48480.46,46241.66,0.0382,78.07,0,0.036,0.0131,5,3,1,True,False,normal
2025-03-16,14966,14966,9928,715,1232,73188.16,70108.97,0.046,102.36,0,0.0296,0.0189,6,3,1,True,False,normal
2025-03-17,11607,11607,7443,508,925,43099.28,43669.21,0.0441,84.84,0,0.0331,0.0169,0,3,1,False,False,normal
2025-03-18,11697,11697,7348,298,510,26589.2,25906.11,0.0288,89.23,0,0.0458,0.0959,1,3,1,False,True,failed_deployment
2025-03-19,13043,13043,8790,346,591,28076.99,26580.22,0.0302,81.15,0,0.047,0.1014,2,3,1,False,True,failed_deployment
2025-03-20,14395,14395,8903,348,590,30218.93,27830.67,0.0265,86.84,0,0.0487,0.1003,3,3,1,False,True,failed_deployment
2025-03-21,14897,14897,10350,558,873,46991.06,45242.01,0.0399,84.21,0,0.0309,0.0227,4,3,1,False,False,normal
2025-03-22,16571,16571,10299,715,1237,65380.74,64146.35,0.0414,91.44,0,0.0413,0.0129,5,3,1,True,False,normal
2025-03-23,14933,14933,9583,649,1104,56208.24,54421.29,0.0467,86.61,0,0.037,0.0137,6,3,1,True,False,normal
2025-03-24,11755,11755,7222,499,943,48245.57,43282.0,0.0411,96.68,0,0.0422,0.0213,0,3,1,False,False,normal
2025-03-25,12183,12183,7688,521,837,47105.0,47786.38,0.0449,90.41,0,0.0344,0.0221,1,3,1,False,False,normal
2025-03-26,13653,13653,8835,592,995,55143.43,53508.37,0.0414,93.15,0,0.0328,0.0158,2,3,1,False,False,normal
2025-03-27,14945,14945,9279,604,992,45962.94,44357.15,0.0437,76.1,0,0.042,0.0161,3,3,1,False,False,normal
2025-03-28,15109,15109,9935,650,1250,56894.08,56066.7,0.0426,87.53,0,0.0327,0.0198,4,3,1,False,False,normal
2025-03-29,16916,16916,10633,756,1244,68235.07,66337.64,0.0456,90.26,0,0.0343,0.011,5,3,1,True,False,normal
2025-03-30,15119,15119,9373,646,1174,57642.5,56168.56,0.0414,89.23,0,0.0379,0.0124,6,3,1,True,False,normal
2025-03-31,12068,12068,7185,461,860,43005.01,41310.21,0.0383,93.29,0,0.03,0.0172,0,3,1,False,False,normal
2025-04-01,12661,12661,8001,484,839,40649.96,37943.25,0.0389,83.99,0,0.0378,0.0226,1,4,2,False,False,normal
2025-04-02,13590,13590,8367,566,897,48827.87,47271.19,0.0414,86.27,0,0.0373,0.0167,2,4,2,False,False,normal
2025-04-03,14914,14914,8956,552,876,51058.2,50371.96,0.0393,92.5,0,0.0401,0.0183,3,4,2,False,False,normal
2025-04-04,15431,15431,9214,629,1166,46210.88,43813.56,0.0442,73.47,0,0.0386,0.0214,4,4,2,False,False,normal
2025-04-05,17008,17008,11872,639,1022,57025.27,54041.24,0.0416,89.24,0,0.0402,0.0243,5,4,2,True,False,normal
2025-04-06,15458,15458,9515,802,1441,67499.23,66326.54,0.0501,84.16,0,0.0346,0.0163,6,4,2,True,False,normal
2025-04-07,12077,12077,6960,477,841,38628.53,36975.45,0.0378,80.98,0,0.0315,0.0179,0,4,2,False,False,normal
2025-04-08,12405,12405,7545,516,926,45331.11,42971.9,0.0436,87.85,0,0.0434,0.0235,1,4,2,False,False,normal
2025-04-09,13941,13941,8532,531,959,49250.77,47473.27,0.0396,92.75,0,0.0289,0.0134,2,4,2,False,False,normal
2025-04-10,14700,14700,9265,543,889,49801.4,40085.62,0.0355,91.72,98,0.0353,0.0211,3,4,2,False,True,inventory_shortage
2025-04-11,15228,15228,9687,596,973,50813.1,38904.41,0.0374,85.26,112,0.0433,0.0149,4,4,2,False,True,inventory_shortage
2025-04-12,16692,16692,10792,543,997,49313.4,39257.54,0.03,90.82,83,0.0475,0.0183,5,4,2,True,True,inventory_shortage
2025-04-13,15435,15435,9365,584,978,53012.23,42648.79,0.0377,90.77,88,0.0418,0.0173,6,4,2,True,True,inventory_shortage
2025-04-14,11958,11958,7466,495,703,42332.13,33960.24,0.0427,85.52,79,0.045,0.0151,0,4,2,False,True,inventory_shortage
2025-04-15,12407,12407,7286,444,812,36491.5,29244.45,0.0356,82.19,103,0.033,0.0151,1,4,2,False,True,inventory_shortage
2025-04-16,13577,13577,8269,537,873,44305.84,36974.3,0.0378,82.51,92,0.039,0.0188,2,4,2,False,True,inventory_shortage
2025-04-17,14998,14998,8960,542,979,49109.64,41123.25,0.0401,90.61,87,0.0335,0.021,3,4,2,False,True,inventory_shortage
2025-04-18,15135,15135,9035,612,1173,52490.13,42627.33,0.0365,85.77,113,0.0441,0.0176,4,4,2,False,True,inventory_shortage
2025-04-19,17262,17262,11162,589,1032,47264.89,38255.77,0.0353,80.25,109,0.0348,0.0182,5,4,2,True,True,inventory_shortage
2025-04-20,15337,15337,9704,470,879,36064.63,28393.31,0.0302,76.73,86,0.0359,0.0197,6,4,2,True,True,inventory_shortage
2025-04-21,12563,12563,8210,563,996,50993.77,49121.12,0.0449,90.58,0,0.0371,0.0151,0,4,2,False,False,normal
2025-04-22,12693,12693,7878,530,1028,43986.14,42816.1,0.0427,82.99,0,0.0392,0.0202,1,4,2,False,False,normal
2025-04-23,14164,14164,9146,503,816,44172.02,43434.93,0.04,87.82,0,0.0344,0.0205,2,4,2,False,False,normal
2025-04-24,15510,15510,8823,697,1219,64694.42,62874.5,0.0434,92.82,0,0.0373,0.0258,3,4,2,False,False,normal
2025-04-25,15776,15776,10116,687,1258,54136.23,52009.89,0.0412,78.8,0,0.0372,0.0169,4,4,2,False,False,normal
2025-04-26,17665,17665,11198,713,1231,61140.99,59801.26,0.0414,85.75,0,0.0341,0.0166,5,4,2,True,False,normal
2025-04-27,15868,15868,10123,706,1333,60053.19,59412.12,0.0448,85.06,0,0.0306,0.0203,6,4,2,True,False,normal
2025-04-28,12465,12465,7849,492,835,43339.58,42560.92,0.039,88.09,0,0.0373,0.0205,0,4,2,False,False,normal
2025-04-29,13017,13017,7856,623,1245,57823.98,55627.92,0.0461,92.82,0,0.0375,0.0164,1,4,2,False,False,normal
2025-04-30,14027,14027,8256,537,1077,42255.46,39833.26,0.0388,78.69,0,0.0386,0.0168,2,4,2,False,False,normal
2025-05-01,15308,15308,9226,619,1104,55173.88,52359.23,0.041,89.13,0,0.0362,0.0196,3,5,2,False,False,normal
2025-05-02,15735,15735,9944,790,1435,72421.97,69578.55,0.0488,91.67,0,0.0303,0.0155,4,5,2,False,False,normal
2025-05-03,17818,17818,11275,833,1577,70784.11,68355.43,0.0464,84.97,0,0.0378,0.0168,5,5,2,True,False,normal
2025-05-04,15787,15787,9302,697,1120,59415.1,57829.71,0.0433,85.24,0,0.035,0.0183,6,5,2,True,False,normal
2025-05-05,12277,12277,7290,433,690,38234.54,35003.13,0.0362,88.3,0,0.0431,0.021,0,5,2,False,True,shipping_disruption
2025-05-06,12533,12533,7553,473,899,41575.04,39012.44,0.0374,87.9,0,0.0438,0.0162,1,5,2,False,True,shipping_disruption
2025-05-07,13856,13856,8460,504,899,44958.28,43007.17,0.0392,89.2,0,0.0422,0.0125,2,5,2,False,True,shipping_disruption
2025-05-08,15524,15524,8920,609,1049,54254.01,50423.19,0.0391,89.09,0,0.0486,0.0123,3,5,2,False,True,shipping_disruption
2025-05-09,15739,15739,9110,640,1121,51583.46,49642.04,0.0387,80.6,0,0.0393,0.0142,4,5,2,False,True,shipping_disruption
2025-05-10,17765,17765,10582,674,987,61634.92,58425.92,0.0389,91.45,0,0.041,0.0141,5,5,2,True,True,shipping_disruption
2025-05-11,15557,15557,9650,594,1026,54895.88,51464.67,0.0384,92.42,0,0.0437,0.0175,6,5,2,True,True,shipping_disruption
2025-05-12,12452,12452,7287,429,712,37333.06,35227.44,0.0347,87.02,0,0.0515,0.0144,0,5,2,False,True,shipping_disruption
2025-05-13,12910,12910,7942,491,913,38191.03,36443.44,0.0375,77.78,0,0.0492,0.0159,1,5,2,False,True,shipping_disruption
2025-05-14,13966,13966,9018,600,1122,51221.34,48123.77,0.0417,85.37,0,0.0384,0.0157,2,5,2,False,True,shipping_disruption
2025-05-15,15741,15741,9189,621,1130,54069.99,51654.79,0.0389,87.07,0,0.0404,0.0167,3,5,2,False,False,normal
2025-05-16,16225,16225,9991,627,1127,49974.85,48400.27,0.0424,79.7,0,0.0404,0.022,4,5,2,False,False,normal
2025-05-17,18139,18139,11874,738,1159,62006.2,59403.18,0.0405,84.02,0,0.0303,0.02,5,5,2,True,False,normal
2025-05-18,16294,16294,9801,718,1307,56182.4,53207.79,0.0433,78.25,0,0.0249,0.018,6,5,2,True,False,normal
2025-05-19,12862,12862,7786,507,926,45295.43,42263.43,0.0418,89.34,0,0.0347,0.0166,0,5,2,False,False,normal
2025-05-20,13214,13214,8668,610,1159,53016.78,50526.02,0.0474,86.91,0,0.0395,0.0167,1,5,2,False,False,normal
2025-05-21,14503,14503,8761,663,1329,51016.65,47653.85,0.0445,76.95,0,0.0414,0.019,2,5,2,False,False,normal
2025-05-22,16024,16024,10375,587,908,51616.7,49659.58,0.0391,87.93,0,0.0315,0.0198,3,5,2,False,False,normal
2025-05-23,16184,16184,10275,687,1170,58868.48,57977.23,0.045,85.69,0,0.042,0.0153,4,5,2,False,False,normal
2025-05-24,17962,17962,11099,697,1158,61921.67,58996.58,0.0407,88.84,0,0.0261,0.0181,5,5,2,True,False,normal
